# Simulated random data file for batch processing
# timestamp: 2020-04-08 12:17:24
# AAR
# -----------------------

"var_x","var_y"
0.372721213847399,0.735450213076547
0.385982594219968,0.706855242140591
0.312837233999744,0.452097475528717
0.482467687223107,0.570123119978234
0.830095545621589,0.231767733814195
0.772949118399993,0.137686229078099
0.642130746040493,0.923824101686478
0.145471005933359,0.307312274118885
0.589148839469999,0.428003954002634
0.380795498844236,0.526941997930408
0.307881600223482,0.331187864067033
0.648028162773699,0.0509708686731756
0.672801286447793,0.329360918607563
0.204737227875739,0.834194709081203
0.514857846312225,0.834113168762997
0.951585806440562,0.493068814976141
0.494957552989945,0.0455443488899618
0.8361851060763,0.24139855033718
0.00618727714754641,0.874751876341179
0.059843433322385,NA
NA,0.751246800646186
0.740997264860198,NA
0.189805883448571,0.458355995826423
0.530743370065466,0.694732652511448
0.3550442494452,NA
0.259283698396757,0.745288715232164
0.21864168648608,0.295277005294338
0.25779643189162,0.0337580242194235
NA,0.334270612103865
0.0538536799140275,0.365547910798341
0.146112587070093,0.048678046092391
NA,0.85691016446799
0.433509763563052,0.44375538174063
0.904607306467369,0.100872194860131
0.462118430994451,0.4229280941654
0.690073021920398,0.83393282094039
0.695997906848788,0.557169413426891
0.36667858203873,0.503749730763957
0.21475918055512,0.0792497247457504
NA,0.30289641302079
0.999542080564424,0.71730376733467
0.84144160640426,0.371121434262022
0.239501174772158,0.297317823162302
0.545559444930404,0.130175727419555
0.678923963103443,0.219135110266507
0.496279326500371,NA
0.727959260810167,0.608864792389795
0.723011363763362,0.0401437736582011
0.486039448063821,0.760876885615289
0.530625859973952,0.291038749739528
0.928751568542793,0.0222179486881942
0.816582448314875,NA
0.0561015063431114,0.367369314888492
0.390474793035537,0.797738673863932
0.664722418179736,NA
0.405634555732831,0.328781912336126
0.313397064805031,0.896868738112971
NA,0.888626377098262
0.398291223915294,0.360224187141284
0.725103131961077,0.873259095940739
NA,0.179517908254638
0.512956598075107,0.332072503399104
0.554303196026012,0.250720590818673
0.810007767286152,0.448257075855508
0.783052924089134,0.484864873345941
0.624281275551766,0.813306796830148
