ID,Height
1,2
2,5
3,5
4,5
5,5.4
6,7
7,7.1
8,8
9,8
10,8.4
11,9
12,9
13,9
14,9
15,9
16,9.2
17,9.5
18,9.5
19,9.5
20,9.5
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10.1
171,10.1
172,10.2
173,10.2
174,10.2
175,10.2
176,10.3
177,10.3
178,10.3
179,10.3
180,10.4
181,10.4
182,10.4
183,10.4
184,10.4
185,10.4
186,10.4
187,10.4
188,10.5
189,10.5
190,10.5
191,10.5
192,10.5
193,10.5
194,10.5
195,10.5
196,10.5
197,10.5
198,10.5
199,10.5
200,10.5
201,10.5
202,10.5
203,10.5
204,10.5
205,10.5
206,10.5
207,10.5
208,10.5
209,10.5
210,10.5
211,10.6
212,10.6
213,10.7
214,10.8
215,10.8
216,10.8
217,10.8
218,10.8
219,10.8
220,10.9
221,10.9
222,10.9
223,10.9
224,10.9
225,10.9
226,11
227,11
228,11
229,11
230,11
231,11
232,11
233,11
234,11
235,11
236,11
237,11
238,11
239,11
240,11
241,11
242,11
243,11
244,11
245,11
246,11
247,11
248,11
249,11
250,11
251,11
252,11
253,11
254,11
255,11
256,11
257,11
258,11
259,11
260,11
261,11
262,11
263,11
264,11
265,11
266,11
267,11
268,11
269,11
270,11
271,11
272,11
273,11
274,11
275,11
276,11
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,11
285,11
286,11
287,11
288,11
289,11
290,11
291,11
292,11
293,11
294,11
295,11
296,11
297,11
298,11
299,11
300,11
301,11
302,11
303,11
304,11
305,11
306,11
307,11
308,11
309,11
310,11
311,11
312,11
313,11
314,11
315,11
316,11
317,11
318,11
319,11
320,11
321,11
322,11
323,11
324,11
325,11
326,11
327,11
328,11
329,11
330,11
331,11
332,11
333,11
334,11
335,11
336,11
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,11.1
345,11.2
346,11.2
347,11.3
348,11.4
349,11.4
350,11.4
351,11.4
352,11.4
353,11.4
354,11.4
355,11.5
356,11.5
357,11.5
358,11.5
359,11.5
360,11.5
361,11.5
362,11.5
363,11.5
364,11.5
365,11.5
366,11.5
367,11.5
368,11.5
369,11.5
370,11.5
371,11.6
372,11.7
373,11.7
374,11.8
375,11.8
376,11.8
377,11.9
378,11.9
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,12
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,12
428,12
429,12
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,12
446,12
447,12
448,12
449,12
450,12
451,12
452,12
453,12
454,12
455,12
456,12
457,12
458,12
459,12
460,12
461,12
462,12
463,12
464,12
465,12
466,12
467,12
468,12
469,12
470,12
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
488,12
489,12
490,12
491,12
492,12.1
493,12.1
494,12.1
495,12.1
496,12.2
497,12.2
498,12.3
499,12.3
500,12.3
501,12.3
502,12.4
503,12.5
504,12.5
505,12.5
506,12.5
507,12.5
508,12.5
509,12.5
510,12.5
511,12.5
512,12.5
513,12.5
514,12.5
515,12.5
516,12.5
517,12.5
518,12.6
519,12.6
520,12.6
521,12.6
522,12.7
523,12.8
524,12.9
525,12.9
526,13
527,13
528,13
529,13
530,13
531,13
532,13
533,13
534,13
535,13
536,13
537,13
538,13
539,13
540,13
541,13
542,13
543,13
544,13
545,13
546,13
547,13
548,13
549,13
550,13
551,13
552,13
553,13
554,13
555,13
556,13
557,13
558,13
559,13
560,13
561,13
562,13
563,13
564,13
565,13
566,13
567,13
568,13
569,13
570,13
571,13
572,13
573,13
574,13
575,13
576,13
577,13
578,13
579,13
580,13
581,13
582,13
583,13
584,13
585,13
586,13
587,13
588,13
589,13
590,13
591,13
592,13
593,13
594,13
595,13
596,13
597,13
598,13
599,13
600,13
601,13
602,13
603,13
604,13
605,13
606,13
607,13
608,13
609,13
610,13
611,13
612,13
613,13
614,13
615,13
616,13
617,13
618,13
619,13
620,13
621,13
622,13
623,13
624,13
625,13
626,13.1
627,13.1
628,13.1
629,13.1
630,13.1
631,13.2
632,13.2
633,13.3
634,13.4
635,13.4
636,13.4
637,13.4
638,13.4
639,13.4
640,13.4
641,13.5
642,13.5
643,13.5
644,13.5
645,13.5
646,13.5
647,13.5
648,13.5
649,13.5
650,13.5
651,13.5
652,13.5
653,13.5
654,13.5
655,13.5
656,13.5
657,13.5
658,13.5
659,13.5
660,13.5
661,13.5
662,13.6
663,13.7
664,13.7
665,13.8
666,13.9
667,14
668,14
669,14
670,14
671,14
672,14
673,14
674,14
675,14
676,14
677,14
678,14
679,14
680,14
681,14
682,14
683,14
684,14
685,14
686,14
687,14
688,14
689,14
690,14
691,14
692,14
693,14
694,14
695,14
696,14
697,14
698,14
699,14
700,14
701,14
702,14
703,14
704,14
705,14
706,14
707,14
708,14
709,14
710,14
711,14
712,14
713,14
714,14
715,14
716,14
717,14
718,14
719,14
720,14
721,14
722,14
723,14
724,14
725,14
726,14
727,14
728,14
729,14
730,14
731,14
732,14
733,14
734,14
735,14
736,14
737,14
738,14.1
739,14.1
740,14.1
741,14.2
742,14.4
743,14.5
744,14.5
745,14.5
746,14.5
747,14.5
748,14.5
749,14.5
750,14.5
751,14.5
752,14.5
753,14.5
754,14.7
755,14.8
756,14.8
757,14.8
758,14.8
759,14.9
760,14.9
761,15
762,15
763,15
764,15
765,15
766,15
767,15
768,15
769,15
770,15
771,15
772,15
773,15
774,15
775,15
776,15
777,15
778,15
779,15
780,15
781,15
782,15
783,15
784,15
785,15
786,15
787,15
788,15
789,15
790,15
791,15
792,15
793,15
794,15
795,15
796,15
797,15
798,15
799,15
800,15
801,15
802,15
803,15
804,15
805,15
806,15
807,15
808,15
809,15
810,15
811,15
812,15
813,15
814,15
815,15
816,15
817,15
818,15
819,15
820,15
821,15
822,15
823,15
824,15
825,15
826,15
827,15
828,15
829,15
830,15
831,15
832,15
833,15
834,15
835,15
836,15
837,15
838,15.4
839,15.4
840,15.4
841,15.4
842,15.4
843,15.5
844,15.5
845,15.5
846,15.5
847,15.5
848,15.5
849,15.5
850,15.5
851,15.5
852,15.6
853,15.7
854,15.7
855,15.7
856,15.7
857,15.8
858,15.8
859,15.9
860,16
861,16
862,16
863,16
864,16
865,16
866,16
867,16
868,16
869,16
870,16
